TS, DPE, VALUE
13-10-2017 01:37:05.16600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:37:05.16600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,3.8933645524844573E-002
13-10-2017 01:37:05.16600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:37:06.17100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:37:06.17100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:37:06.17100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.4E+001
13-10-2017 01:37:16.20000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:37:16.20000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:37:16.20000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.5E+001
13-10-2017 01:37:20.72200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,3.1146916419875659E-002
13-10-2017 01:37:20.72200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:37:20.72200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,-3.1146916419875659E-002
13-10-2017 01:37:20.72200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,-6.2293832839751317E-002
13-10-2017 01:37:20.72200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:37:21.72700000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:37:21.72700000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:37:21.72700000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.6E+001
13-10-2017 01:37:32.42200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:37:32.42200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:37:32.42200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.7E+001
13-10-2017 01:37:36.94400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,-2.3360187314906744E-002
13-10-2017 01:37:36.94400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,2.3360187314906744E-002
13-10-2017 01:37:36.94400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:37:36.94400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:37:36.94400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,-4.6720374629813488E-002
13-10-2017 01:37:37.94900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:37:37.94900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.8E+001
13-10-2017 01:37:37.94900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:37:47.97800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.9E+001
